1 ,120.0 ,23.5 
1 ,119.0 ,21.6 
1 ,123.0 ,21.6 
2 ,118.0 ,17.1 
2 ,115.0 ,17.1 
1 ,113.0 ,18.8 
1 ,114.0 ,20.6 
2 ,112.0 ,16.5 
1 ,116.0 ,23.7 
2 ,117.0 ,24.3 
2 ,109.0 ,19.1 
1 ,116.0 ,18.7 
2 ,110.0 ,22.2 
1 ,115.0 ,20.2 
1 ,116.0 ,26.0 
1 ,121.0 ,23.1 
1 ,116.0 ,20.3 
1 ,117.0 ,21.9 
2 ,114.0 ,19.9 
2 ,123.0 ,22.6 
2 ,119.0 ,21.2 
1 ,120.0 ,21.9 
1 ,124.0 ,23.6 
1 ,124.0 ,21.4 
1 ,113.0 ,21.4 
1 ,111.0 ,17.7 
1 ,120.0 ,20.5 
2 ,112.0 ,18.3 
2 ,118.0 ,18.0 
2 ,119.0 ,20.9 
1 ,121.0 ,22.6 
2 ,112.0 ,18.8 
1 ,123.0 ,23.6 
1 ,112.0 ,19.6 
2 ,110.0 ,17.8 
1 ,120.0 ,22.1 
2 ,111.0 ,18.4 
2 ,113.0 ,17.5 
1 ,11.0 ,127.7 
1 ,124.4 ,23.2 
1 ,124.0 ,25.0 
2 ,120.5 ,23.3 
2 ,117.0 ,22.6 
2 ,113.0 ,19.1 
2 ,123.1 ,22.0 
1 ,119.1 ,22.3 
1 ,123.0 ,24.3 
2 ,122.2 ,21.2 
1 ,121.1 ,24.0 
2 ,118.8 ,21.5 
2 ,118.1 ,23.1 
2 ,119.5 ,19.9 
2 ,112.8 ,20.4 
1 ,120.5 ,23.3 
1 ,127.5 ,26.4 
1 ,118.0 ,21.0 
1 ,119.0 ,21.0 
2 ,126.0 ,23.6 
1 ,114.0 ,21.1 
1 ,126.0 ,24.0 
1 ,124.0 ,22.0 
2 ,111.0 ,20.9 
1 ,112.0 ,22.0 
1 ,118.0 ,21.7 
1 ,126.0 ,25.0 
1 ,113.0 ,16.9 
2 ,117.0 ,19.6 
1 ,116.0 ,21.7 
1 ,128.0 ,24.7 
1 ,122.0 ,26.5 
1 ,127.0 ,23.8 
2 ,120.0 ,23.0 
1 ,120.0 ,23.0 
2 ,121.0 ,23.5 
2 ,122.0 ,20.8 
1 ,123.0 ,21.0 
2 ,118.0 ,20.6 
1 ,120.0 ,23.2 
2 ,116.0 ,20.7 
2 ,112.0 ,19.7 
2 ,120.0 ,22.8 
1 ,116.0 ,20.0 
1 ,131.0 ,31.6 
2 ,119.0 ,23.6 
1 ,133.0 ,29.0 
2 ,118.0 ,20.6 
2 ,125.0 ,25.9 
2 ,122.0 ,19.5 
1 ,124.0 ,26.5 
2 ,126.0 ,25.9 
2 ,133.0 ,27.6 
1 ,138.0 ,32.4 
1 ,127.0 ,26.5 
1 ,130.0 ,26.3 
1 ,129.0 ,26.8 
1 ,128.0 ,24.7 
1 ,119.0 ,23.0 
2 ,124.0 ,24.7 
2 ,134.0 ,27.0 
1 ,123.0 ,24.7 
2 ,123.0 ,23.2 
1 ,124.0 ,23.3 
2 ,121.0 ,21.8 
1 ,132.0 ,26.1 
