Indicator Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GDP 增长率（年百分比）,7.6,7.80669145,5.172413793,8.93442623,10.83521445,15.13917176,13.44339623,8.93970894,11.6889313,11.23451516,4.185867896,3.907113896,9.294075913,14.21616358,13.86757602,13.05215872,10.94922737,9.928372463,9.230769231,7.837613919,7.667486171,8.491508492,8.33991055,9.130645945,10.03560303,10.11122346,11.39577594,12.71947902,14.23138804,9.654289373,9.399813171,10.63614046,9.55091409,7.859627493,7.768615284,7.299518921,6.90531667,6.736675253,6.757007611,6.6,
GDP,4.10E+11,4.59E+11,4.94E+11,5.37E+11,6.02E+11,7.28E+11,9.10E+11,1.04E+12,1.22E+12,1.52E+12,1.72E+12,1.89E+12,2.20E+12,2.72E+12,3.57E+12,4.86E+12,6.13E+12,7.18E+12,7.97E+12,8.52E+12,9.06E+12,1.00E+13,1.11E+13,1.22E+13,1.37E+13,1.62E+13,1.87E+13,2.19E+13,2.70E+13,3.19E+13,3.49E+13,4.12E+13,4.88E+13,5.39E+13,5.93E+13,6.41E+13,6.86E+13,7.40E+13,8.21E+13,9.00E+13,
