Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
GDP 增长率（年百分比）,,-27.27,-5.57999999,10.3,18.17999999,16.95,10.65,-5.770000004,-4.099999992,16.94,19.3,7.060000003,3.809999998,7.760000002,2.31,8.72,-1.570000003,7.569999999,11.13416441
GDP,1.47E+11,1.23E+11,1.16E+11,1.25E+11,1.47E+11,1.73E+11,1.89E+11,1.79E+11,1.74E+11,1.96E+11,2.28E+11,2.46E+11,2.55E+11,2.76E+11,2.83E+11,3.04E+11,2.99E+11,3.25E+11,3.68E+11
